id,title,technical_type,size_bytes,storage,web_ready,readiness_level,units,crs,calibration_status,quicklook_href
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-03-07-10_28_22.tif,SE2_SR_2022-03-07 10_28_22.tif,raster,3888092,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-03-07-10_28_22.tif,SE2_SR_2022-03-07 10_28_22.tif,raster,3846685,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-lelystad-se2_sr_2022-03-08-10_46_29.tif,SE2_SR_2022-03-08 10_46_29.tif,raster,3338377,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-03-09-10_18_32.tif,SE2_SR_2022-03-09 10_18_32.tif,raster,3937743,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-03-09-10_18_32.tif,SE2_SR_2022-03-09 10_18_32.tif,raster,3930816,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-03-09-11_10_19.tif,SE2_SR_2022-03-09 11_10_19.tif,raster,4184227,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-lelystad-se2_sr_2022-03-11-10_56_27.tif,SE2_SR_2022-03-11 10_56_27.tif,raster,3321603,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-03-12-10_28_28.tif,SE2_SR_2022-03-12 10_28_28.tif,raster,3925457,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-03-12-10_28_28.tif,SE2_SR_2022-03-12 10_28_28.tif,raster,3904730,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-03-12-11_20_14.tif,SE2_SR_2022-03-12 11_20_14.tif,raster,4193885,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-03-14-10_18_26.tif,SE2_SR_2022-03-14 10_18_26.tif,raster,3533611,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-03-14-10_18_26.tif,SE2_SR_2022-03-14 10_18_26.tif,raster,3829673,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-lelystad-se2_sr_2022-03-16-10_56_21.tif,SE2_SR_2022-03-16 10_56_21.tif,raster,3332763,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-lelystad-se2_sr_2022-03-18-10_46_29.tif,SE2_SR_2022-03-18 10_46_29.tif,raster,3324199,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-03-19-10_18_32.tif,SE2_SR_2022-03-19 10_18_32.tif,raster,3969539,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-03-19-10_18_32.tif,SE2_SR_2022-03-19 10_18_32.tif,raster,3968031,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
